"Index","Team","ERA","W-L","G","SHO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","AB","B/AVG","WP","HBP","BK","SFA","SHA"
NA,"Saint John's",3.29,"14-11",25,2,2,202.2,193,96,74,68,"174-44",37,7,6,774,0.249,5,25,0,3,17
NA,"Saint Mary's",4.31,"18-11",29,3,10,233.2,239,124,112,87,"167-51",50,3,13,878,0.272,7,41,3,9,12
NA,"Bethel",4.99,"22-6",28,1,10,227.1,255,162,126,124,"250-80",45,3,14,884,0.288,24,34,1,14,16
NA,"St. Scholastica",5.37,"14-12",26,2,2,199.1,212,168,119,106,"195-57",33,7,15,807,0.263,35,41,9,10,7
NA,"Macalester",6.05,"20-10",30,1,5,242.1,276,188,163,133,"211-76",51,8,18,962,0.287,40,44,5,11,8
NA,"Concordia",6.07,"9-14",23,1,3,181,205,146,122,96,"153-42",37,2,10,684,0.3,25,33,1,14,13
NA,"Gustavus",6.37,"12-14",26,2,4,202,225,173,143,122,"188-63",49,4,9,815,0.276,39,45,2,5,5
NA,"St. Olaf",6.78,"10-18",28,1,3,215,272,193,162,137,"146-47",58,5,20,876,0.311,25,35,4,13,14
NA,"Hamline",6.89,"12-18",30,1,2,235,277,199,180,124,"184-52",64,13,19,944,0.293,17,47,3,12,13
NA,"Augsburg",8.8,"4-13",17,0,0,120.2,167,132,118,70,"97-26",21,3,5,506,0.33,24,31,5,7,9
NA,"Carleton",9.6,"6-16",22,0,3,164,225,226,175,124,"112-28",44,12,16,688,0.327,60,65,12,17,15
